Intervalo Educacional;Países;Salário;Índice Criminal
4.87;Argentina;High income;83.98
4.9497876;Australia;High income;81.98
5.0528383;Austria;High income;81.8
4.931378;Bahamas;High income;80.87
5.1239038;Bahrain;High income;80.71
5.12062;Barbados;High income;80.6
7.3824778;Belgium;High income;80.55
8.92;Brunei Darussalam;High income;79.39
8.851396;Canada;High income;77.93
8.953018;Chile;High income;77.69
7.2022004;Croatia;High income;77.36
6.84;Cyprus;High income;76.44
7.0480285;Czechia;High income;76.42
7.0915527;Denmark;High income;76.21
4.11;Estonia;High income;75.75
4.2349777;Finland;High income;75.69
4.2349777;France;High income;75.11
8.093484;Germany;High income;74.76
8.444422;Greece;High income;74.63
8.238216;China Hong Kong SAR;High income;73.51
8.87;Hungary;High income;73.13
8.739134;Iceland;High income;72.92
8.41131;Ireland;High income;71.87
7.86;Israel;High income;71.44
8.07041;Italy;High income;71.32
7.994621;Japan;High income;71.24
7.8252707;Kuwait;High income;70.93
8.02626;Latvia;High income;70.7
8.04233;Lithuania;High income;70.59
11.056325;Luxembourg;High income;70.49
11.55;Malta;High income;70.46
11.40922;Netherlands;High income;69.79
11.222505;New Zealand;High income;69.5
10.845024;Norway;High income;68.86
11.67;Oman;High income;68.64
11.275588;Panama;High income;68.55
10.906205;Poland;High income;68.37
6.878968;Portugal;High income;68.35
8.75;Qatar;High income;67.94
9.373489;Republic of Korea;High income;67.45
8.281513;Saudi Arabia;High income;67.05
8.422845;Singapore;High income;66.78
9.6;Slovakia;High income;66.74
9.518841;Slovenia;High income;66.54
9.286839;Spain;High income;66.22
6.5;Sweden;High income;66.1
5.9978147;Switzerland;High income;65.7
5.989421;Taiwan Province of China;High income;65.42
10.784273;Trinidad and Tobago;High income;64.72
11.161227;United Arab Emirates;High income;64.58
11.14;United Kingdom;High income;64.39
11.240353;United States of America;High income;64.32
11.183289;Uruguay;High income;64.17
4.9740124;Albania;Upper middle income;63.89
5.73;Algeria;Upper middle income;63.89
5.64372;Armenia;Upper middle income;63.66
5.6664166;Azerbaijan;Upper middle income;63.65
6.3267903;Belarus;Upper middle income;63.54
8.64;Belize;Upper middle income;63.51
8.638537;Bosnia and Herzegovina;Upper middle income;63.4
